Name,Address,Contact
Bago Bantay HC,"84 Sto. Niño St., Brgy. Alicia",09331422533
Bagong Pag-Asa HC,"36 Road 9 cor. Road 10, Brgy. Bagong Pag-asa",09196667054
Balingasa HC,"26 J. Aquino Cruz St., Brgy. Balingasa",09161710747
La Loma HC,"225 Mariveles Street, Brgy. Paang Bundok, District 1",7121-0645
Masambong HC,"8 Malac St., Brgy. Masambong, District 1",09205246039
Mercedes de Joya HC,"Dapitan cor. Mayon St., Brgy. Sta. Teresita, District 1",09328430155
Paltok HC,"14 Matias Street, Brgy. Paltok, District 1",09175443411
Project 6 HC,"58 Alley 3, Brgy. Project 6",09178986815
Project 7 HC,"39 Bansalangin Street, Brgy. Veterans Village, District 1",09926826490
San Antonio HC,"38 San Jose, Brgy. San Antonio",8374-8925
San Francisco SHC,"H. Francisco corner San Vicente St., Brgy. Damayan, District 1",09183309157
San Jose HC,"27 Tinagan St., Brgy. San Jose",7148-1871
Toro Hills,"Road 11, Brgy. Bahay Toro, District 1",09228268799
Bagong Silangan HC,"Bonifacio Street, Brgy. Bagong Silangan, District 2",8713-1918 | 09778091108
Batasan Hills SHC,"2nd Floor, IBP Road corner Commonwealth Avenue, District 2",09357919496 | 09272121294
Batasan Annex HC,"Bill cor. Saret St., Brgy. Batasan Hills",09669848229
Betty Go Belmonte SHC,"2nd Floor. 12 Artillery Road, Brgy. Holy Spirit, District 2",71491340 | 09161693601
Commonwealth HC,"Katuparan Street, Brgy. Commonwealth, District 2",87116485 | 09228793305
Lupang Pangako HC,"Phase I, Lupang Pangako, Brgy. Payatas",09991094962
NGC SHC,"MRB, Phase 1 Pilot Drive, Barangay Commonwealth",09452701256 | 09778091108
Veterans HC,"6 Faustino Street, Barangay Holy Spirit",7393 1612 | 09152656224
Payatas A HC,"Ilang-Ilang Street, Barangay Payatas District 2",(02) 7118 4392 | 09650376379
Payatas B HC,"Bulacan Street, Barangay Payatas",09690394762
Ermin Garcia HC,"53 Cambridge Street, Brgy. E.Rodriguez, Cubao, District 3",700-46-293
E. Rodriguez HC,"150 Pajo Street, Project 2, Brgy. Quirino 2-B, District 3",(02) 7117 1761
Escopa HC,"P. Burgos Street, Brgy. Escopa, Project 4, District 3",7943 1484
Libis HC,"E. Rodriguez Jr. Avenue corner, L. Pasco Street, Barangay Libis",8552 3022
Murphy SHC,"35 18th Avenue, Barangay San Roque",(02) 7529 2027
Pansol HC,"Plaza Street, Barangay Pansol, Distrct 3",(02) 7003 8537
Project 4 HC,"Kalintiaw Street corner, P. Tuazon, Barangay Bagumbuhay",7149 0023
Socorro HC,"139 15th Avenue, Barangay Socorro",7117-7234
Bernardo HC,"95 Ermin Garcia Street, Barangay Pinagkaisahan",7294 9412
Cubao HC,"22 Mayor Ignacio Diaz Street, Brgy. Kaunlaran, District 4",09454876807
Galas HC,"46 Bayani Street, Brgy. San Isidro Labrador, Galas, District 4",(02) 7005 6597
General Roxas HC,"Senior Citizen Building, Mother Ignacia St., cor. Roces Avenue, Brgy. Paligsahan",Not available
Kalayaan HC,"91 Guirayan Street, Barangay Doña Imelda, District 4",(02) 8567 3355
Kamuning SHC,"2nd Flr., 19 T. Gener Street corner K-5th Street, Brgy. Kamuning, District 4",7092 8594
Krus na Ligas HC,"89 Lt. J. Francisco, Barangay Krus na Ligas District 4",09195586190
Pinyahan HC,"37 Malakas Street, Brgy. Pinyahan, District 4",7943 9106 | 7393 1812
San Vicente HC,"#14 Maayusin Extension, Barangay San Vicente, District 4",700-58894
Tatalon HC,"33 Victory Avenue, Barangay Tatalon, District 4",(02) 7121 2955
Arsenia J Maximo SHC,"Quirino Highway, Barangay Novaliches Proper, District 6",(02) 7004 7692
Bagbag HC,"18 Parokya ng Pagkabuhay Road, Barangay Bagbag",(02) 7148 4924
Capri HC,"Narra Street Area 5, Brgy. Capri, Novaliches, District 6",(02) 8711 5952
Fairview HC,"Dahlia Avenue, Brgy. Fairview, District 5",7149-4641
Greater Lagro HC,"Blk, 47, Lot 1, Ascension Avenue, Barangay Greater Lagro",8711 6160
Gulod HC,"#47 Villaflor Village, Brgy. Gulod, District 5",(02) 8660 9066
Kaligayahan HC,"58 Kingfisher Street, Zabarte Subd., Barangay Kaligayahan, District 5",7148-4934 / 09631541440
Maligaya HC,"Pechayan Street, Maligaya Park Subd., Barangay Pasong Putik",(02) 8693 7089
Nagkaisang Nayon HC,"Terio Street, FB de Jesus, Sitio Damong Maliit, Brgy. Nagkaisang Nayon, District 5",7148 4964
North Fairview HC,"Avon Street, North Fairview Park Subd., Brgy. North Fairview, District 5",7003-7839
San Bartolome HC,"Angela Covered Court, Marcos Street Doña Faustina Subd., Brgy. San Bartolome",0792 9642
Sta. Lucia SHC,"Sta. Lucia Avenue, Barangay Sta. Lucia",7003 7431
Apolonio Samson HC,"150 Kaingin Road, Kaingin, Barangay Apolonio Samson, Balintawak, District 6",09687096694
Baesa HC,"57 Baesa Road, Barangay Baesa, District 6",(02) 71484458
Banlat HC,"13 Daffodil St., cor. Daisy St. Del Nacia 1 Village, Brgy. Tandang Sora, District 6",(02) 7003 2412
Melchora Aquino HC,"Loboc Street, Napocor Village, Barangay Tandang Sora",(02) 8711 6016
M.H. Pedro HC,"13 J.P. Eugenio Street, Philand Subdivision, Barangay Pasong Tamo, District 6",09254891619
Sangandaan HC,"Premium Street, Barangay Sangandaan, District 6",(02) 71196312
Sauyo HC,"Greenville Drive, Barangay Sauyo, District 6",09618495092
Tandang Sora HC,"506 Quirino Highway, Talipapa People Civic Center, Brgy. Talipapa, District 6",09600245760
Wenceslao Dela Paz (Culiat) HC,"Sta. Felicia Street, San Antonio Homes, District 6",(02) 7149 2372
District 1 Health Office,San Francisco Super Health Center,09662209857
District 2 Health Office,Batasan Hills Super Health Center,09228304110
District 3 Health Office,"New DHO Bldg., beside E. Rodriguez Health Center",09684212677
District 4 Health Office,Kamuning Super Health Center,09331932455
District 5 Health Office,Arsenia J. Maximo (Novaliches) Super HC,0933570172
District 6 Health Office,Banlat Health Center,09053025638
Central Office,Not available,09228912659
Doña Nicasia,"689 Matapang St., Doña Nicasia Subdivision",86951161 | 09665692138
Holy Spirit,"373 Sta. Catalina Street, Brgy. Holy Spirit",09774650063
Payatas SHC,"Molave Street, Diamond Hills Street, Barangay Payatas",09156662866
Old Balara (Main),"19 Doña Filomena Street,  Villa Beatriz, Barangay Old Balara",8442 9251
Old Balara (Annex),"99A Tandang Sora Avenue, Barangay Matandang Balara",8711 6325
NGC Lying-in-Clinic,"MRB Compound, Pilot Drive,  Brgy. Commonwealth",09988586076
